run_dir,attn_dropout,batch_size,content_rel_attn,dataset,depth,dim,embedding_type,exp_name,feature_redraw_interval,ff_dropout,heads,in_features,learning_rate,log_path,max_pos,model,no_projection,num_classes,pos_dims,schedule,pos_scales,version,schedule,warmup,val/loss,val/acc,test/loss,test/acc,n_parameters,seed
lightning_logs/fixed/resize_fixed_relative_redraw100/RelativePerformer_FashionMNIST_linear,0.1,22,FALSE,FashionMNIST,6,256,linear,resize_fixed_relative_redraw100,100,0.1,8,1,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_FashionMNIST_linear,constant,0,0.31850934,0.899479389,0.311905712,0.893472195,4742414,
lightning_logs/fixed/check_lrschedule/RelativePerformer_FashionMNIST_linear_warmup8000_noam,0.1,22,FALSE,FashionMNIST,6,256,linear,check_lrschedule,1000,0.1,8,1,0.001,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_FashionMNIST_linear_warmup8000_noam,noam,8000,0.316604704,0.910692811,0.314513743,0.906087279,4742414,3558212352
lightning_logs/fixed/check_lrschedule/RelativePerformer_FashionMNIST_linear_warmup4000_noam,0.1,22,FALSE,FashionMNIST,6,256,linear,check_lrschedule,1000,0.1,8,1,0.001,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_FashionMNIST_linear_warmup4000_noam,noam,4000,0.341856033,0.904285133,0.368705869,0.891770124,4742414,3049996692
lightning_logs/fixed/check_lrschedule/RelativePerformer_CIFAR10_linear_warmup4000_noam,0.1,22,FALSE,CIFAR10,6,256,linear,check_lrschedule,1000,0.1,8,3,0.001,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_CIFAR10_linear_warmup4000_noam,noam,4000,1.20844686,0.658390045,1.230305552,0.654685616,4742926,543638981
lightning_logs/fixed/check_lrschedule/RelativePerformer_CIFAR10_linear_warmup8000_noam,0.1,22,FALSE,CIFAR10,6,256,linear,check_lrschedule,1000,0.1,8,3,0.001,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_CIFAR10_linear_warmup8000_noam,noam,8000,1.108232617,0.645774901,1.103905916,0.641569912,4742926,1493969611
lightning_logs/fixed/check_lrschedule/RelativePerformer_MNIST_linear_warmup8000_noam,0.1,22,FALSE,MNIST,6,256,linear,check_lrschedule,1000,0.1,8,1,0.001,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_MNIST_linear_warmup8000_noam,noam,8000,0.085761078,0.985782921,0.075141281,0.986383677,4742414,4213850668
lightning_logs/fixed/check_lrschedule/RelativePerformer_MNIST_linear_warmup4000_noam,0.1,22,FALSE,MNIST,6,256,linear,check_lrschedule,1000,0.1,8,1,0.001,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_MNIST_linear_warmup4000_noam,noam,4000,0.082324669,0.985582709,0.101161778,0.983380079,4742414,739241048
lightning_logs/fixed/resize_fixed_relative_redraw1/RelativePerformer_MNIST_linear,0.1,22,FALSE,MNIST,6,256,linear,resize_fixed_relative_redraw1,1,0.1,8,1,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_MNIST_linear,constant,0,1.593585134,0.419102937,1.580328941,0.418502212,4742414,
lightning_logs/fixed/resize_fixed_relative_redraw1/RelativePerformer_CIFAR10_linear,0.1,22,FALSE,CIFAR10,6,256,linear,resize_fixed_relative_redraw1,1,0.1,8,3,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_CIFAR10_linear,constant,0,1.442756414,0.62474972,1.445752978,0.614337206,4742926,
lightning_logs/fixed/resize_fixed_relative_redraw1/RelativePerformer_FashionMNIST_linear,0.1,22,FALSE,FashionMNIST,6,256,linear,resize_fixed_relative_redraw1,1,0.1,8,1,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_FashionMNIST_linear,constant,0,0.345664173,0.88305968,0.338573694,0.8796556,4742414,
lightning_logs/fixed/resize_fixed_relative_redraw1000/Performer_FashionMNIST_linear,0.1,22,FALSE,FashionMNIST,6,256,linear,resize_fixed_relative_redraw1000,1000,0.1,8,1,5.00E-05,lightning_logs,32,Performer,FALSE,10,2,constant,,Performer_FashionMNIST_linear,constant,0,0.34377256,0.911493778,0.363950253,0.905887067,4741706,
lightning_logs/fixed/resize_fixed_relative_redraw1000/NoposPerformer_FashionMNIST_linear,0.1,22,FALSE,FashionMNIST,6,256,linear,resize_fixed_relative_redraw1000,1000,0.1,8,1,5.00E-05,lightning_logs,32,NoposPerformer,FALSE,10,2,constant,,NoposPerformer_FashionMNIST_linear,constant,0,0.904251635,0.679615557,0.911811352,0.672506988,4741642,
lightning_logs/fixed/resize_fixed_relative_redraw1000/Performer_MNIST_linear,0.1,22,FALSE,MNIST,6,256,linear,resize_fixed_relative_redraw1000,1000,0.1,8,1,5.00E-05,lightning_logs,32,Performer,FALSE,10,2,constant,,Performer_MNIST_linear,constant,0,0.061381344,0.990588725,0.064255759,0.988486171,4741706,
lightning_logs/fixed/resize_fixed_relative_redraw1000/NoposPerformer_CIFAR10_linear,0.1,22,FALSE,CIFAR10,6,256,linear,resize_fixed_relative_redraw1000,1000,0.1,8,3,5.00E-05,lightning_logs,32,NoposPerformer,FALSE,10,2,constant,,NoposPerformer_CIFAR10_linear,constant,0,1.394492865,0.541649997,1.433975816,0.527432919,4742154,
lightning_logs/fixed/resize_fixed_relative_redraw1000/RelativePerformer_CIFAR10_linear,0.1,22,FALSE,CIFAR10,6,256,linear,resize_fixed_relative_redraw1000,1000,0.1,8,3,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_CIFAR10_linear,constant,0,1.122937202,0.67000401,1.127999663,0.664497375,4742926,
lightning_logs/fixed/resize_fixed_relative_redraw1000/RelativePerformer_MNIST_linear,0.1,22,FALSE,MNIST,6,256,linear,resize_fixed_relative_redraw1000,1000,0.1,8,1,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_MNIST_linear,constant,0,0.090565465,0.989387274,0.085133359,0.987685204,4742414,
lightning_logs/fixed/resize_fixed_relative_redraw1000/RelativePerformer_FashionMNIST_linear,0.1,22,FALSE,FashionMNIST,6,256,linear,resize_fixed_relative_redraw1000,1000,0.1,8,1,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_FashionMNIST_linear,constant,0,0.342932463,0.908089697,0.345976055,0.904184997,4742414,
lightning_logs/fixed/resize_fixed_relative_redraw1000/Performer_CIFAR10_linear,0.1,22,FALSE,CIFAR10,6,256,linear,resize_fixed_relative_redraw1000,1000,0.1,8,3,5.00E-05,lightning_logs,32,Performer,FALSE,10,2,constant,,Performer_CIFAR10_linear,constant,0,1.33240819,0.706647992,1.336509228,0.693632364,4742218,
lightning_logs/fixed/resize_fixed_relative_redraw1000/NoposPerformer_MNIST_linear,0.1,22,FALSE,MNIST,6,256,linear,resize_fixed_relative_redraw1000,1000,0.1,8,1,5.00E-05,lightning_logs,32,NoposPerformer,FALSE,10,2,constant,,NoposPerformer_MNIST_linear,constant,0,1.508590817,0.457348824,1.493051291,0.449839801,4741642,
lightning_logs/clipped_relative/ClippedRelativePerformer_CIFAR10_linear_dist4,0.1,11,4,CIFAR10,6,256,linear,clipped_relative,,0.1,8,3,5.00E-05,lightning_logs,32,ClippedRelativePerformer,,10,2,constant,,ClippedRelativePerformer_CIFAR10_linear_dist4,,0,1.269939303,0.589507401,1.28338623,0.582758248,4545738,820170590
lightning_logs/clipped_relative/ClippedRelativePerformer_FashionMNIST_linear_dist2,0.1,22,2,FashionMNIST,6,256,linear,clipped_relative,,0.1,8,1,5.00E-05,lightning_logs,32,ClippedRelativePerformer,,10,2,constant,,ClippedRelativePerformer_FashionMNIST_linear_dist2,,0,0.522026122,0.835002005,0.544366002,0.830196261,4544842,866321504
lightning_logs/clipped_relative/ClippedRelativePerformer_FashionMNIST_linear_dist6,0.1,6,6,FashionMNIST,6,256,linear,clipped_relative,,0.1,8,1,5.00E-05,lightning_logs,32,ClippedRelativePerformer,,10,2,constant,,ClippedRelativePerformer_FashionMNIST_linear_dist6,,0,0.401713461,0.857743084,0.425634027,0.842837155,4545610,2146699801
lightning_logs/clipped_relative/ClippedRelativePerformer_MNIST_linear_dist4,0.1,11,4,MNIST,6,256,linear,clipped_relative,,0.1,8,1,5.00E-05,lightning_logs,32,ClippedRelativePerformer,,10,2,constant,,ClippedRelativePerformer_MNIST_linear_dist4,,0,0.216690466,0.934120953,0.257954836,0.924592435,4545226,2153542602
lightning_logs/clipped_relative/ClippedRelativePerformer_CIFAR10_linear_dist2,0.1,22,2,CIFAR10,6,256,linear,clipped_relative,,0.1,8,3,5.00E-05,lightning_logs,32,ClippedRelativePerformer,,10,2,constant,,ClippedRelativePerformer_CIFAR10_linear_dist2,,0,1.311243176,0.552062452,1.31706059,0.546656013,4545354,2427868713
lightning_logs/clipped_relative/ClippedRelativePerformer_MNIST_linear_dist6,0.1,6,6,MNIST,6,256,linear,clipped_relative,,0.1,8,1,5.00E-05,lightning_logs,32,ClippedRelativePerformer,,10,2,constant,,ClippedRelativePerformer_MNIST_linear_dist6,,0,0.167111576,0.945178092,0.173153773,0.946978807,4545610,3245148670
lightning_logs/clipped_relative/ClippedRelativePerformer_FashionMNIST_linear_dist4,0.1,11,4,FashionMNIST,6,256,linear,clipped_relative,,0.1,8,1,5.00E-05,lightning_logs,32,ClippedRelativePerformer,,10,2,constant,,ClippedRelativePerformer_FashionMNIST_linear_dist4,,0,0.39644435,0.872246683,0.409259558,0.866586685,4545226,3821787108
lightning_logs/clipped_relative/ClippedRelativePerformer_MNIST_linear_dist2,0.1,22,2,MNIST,6,256,linear,clipped_relative,,0.1,8,1,5.00E-05,lightning_logs,32,ClippedRelativePerformer,,10,2,constant,,ClippedRelativePerformer_MNIST_linear_dist2,,0,0.386274248,0.888866663,0.38509497,0.889867842,4544842,3294046280
