,run_dir,shift,accuracy_mean,accuracy_std,loss_mean,loss_std
0,Performer,-8,0.0,0.0,14.737039566040039,2.114480495452881
1,Performer,-7,0.0,0.0,14.140864372253418,1.607374668121338
2,Performer,-6,0.0,0.0,11.65340805053711,1.9036777019500732
3,Performer,-5,0.0012642225483432412,0.03555590659379959,9.100601196289062,2.552381753921509
4,Performer,-4,0.007585335057228804,0.08681777864694595,9.209165573120117,2.976609468460083
5,Performer,-3,0.0278128944337368,0.16454046964645386,8.79691219329834,3.284623861312866
6,Performer,-2,0.50948166847229,0.5002263784408569,3.2130584716796875,4.002964019775391
7,Performer,-1,0.9709228873252869,0.16812904179096222,0.12653571367263794,0.8208115100860596
8,Performer,0,0.991150438785553,0.0937141701579094,0.05109016224741936,0.5997667908668518
9,Performer,1,0.984829306602478,0.12230876088142395,0.07843953371047974,0.7571364045143127
10,Performer,2,0.983565092086792,0.1272212564945221,0.0741073340177536,0.6300040483474731
11,Performer,3,0.975979745388031,0.15320877730846405,0.07772161811590195,0.5094437003135681
12,Performer,4,0.9064475297927856,0.2913893461227417,0.3239547908306122,1.0878320932388306
13,Performer,5,0.44627055525779724,0.4974192976951599,1.9264951944351196,2.2508738040924072
14,Performer,6,0.02149178273975849,0.14510859549045563,5.286004543304443,2.9250125885009766
15,Performer,7,0.024020226672291756,0.15320877730846405,5.928123950958252,3.2502872943878174
16,Performer,8,0.0012642225483432412,0.03555590659379959,9.177017211914062,3.0473525524139404
17,RelativePerformer,-8,0.8963337540626526,0.30501994490623474,0.3001011908054352,1.0153427124023438
18,RelativePerformer,-7,0.9077117443084717,0.28961554169654846,0.2675226628780365,1.0312806367874146
19,RelativePerformer,-6,0.9481669068336487,0.22183024883270264,0.18563346564769745,0.9629441499710083
20,RelativePerformer,-5,0.975979745388031,0.15320877730846405,0.10666558146476746,0.8226304054260254
21,RelativePerformer,-4,0.982300877571106,0.1319388598203659,0.07204538583755493,0.7110675573348999
22,RelativePerformer,-3,0.9886220097541809,0.10612625628709793,0.0511367991566658,0.6132305860519409
23,RelativePerformer,-2,0.9898862242698669,0.10012074559926987,0.04482664167881012,0.5613531470298767
24,RelativePerformer,-1,0.991150438785553,0.0937141701579094,0.039904240518808365,0.5132888555526733
25,RelativePerformer,0,0.992414653301239,0.08681777864694595,0.03423240780830383,0.46441397070884705
26,RelativePerformer,1,0.9898862242698669,0.10012074559926987,0.03392259404063225,0.44055649638175964
27,RelativePerformer,2,0.9886220097541809,0.10612625628709793,0.03512238711118698,0.41231828927993774
28,RelativePerformer,3,0.9873577952384949,0.1117953509092331,0.043359652161598206,0.43557849526405334
29,RelativePerformer,4,0.9886220097541809,0.10612625628709793,0.05392644554376602,0.5135400295257568
30,RelativePerformer,5,0.9873577952384949,0.1117953509092331,0.06064317002892494,0.5712133646011353
31,RelativePerformer,6,0.9873577952384949,0.1117953509092331,0.059419333934783936,0.5822688341140747
32,RelativePerformer,7,0.9860935807228088,0.11717686057090759,0.06160707026720047,0.6283823847770691
33,RelativePerformer,8,0.983565092086792,0.1272212564945221,0.06862218677997589,0.6847837567329407
34,ClippedRelativePerformer,-8,0.39443743228912354,0.48903873562812805,1.8094943761825562,1.8390471935272217
35,ClippedRelativePerformer,-7,0.4728192090988159,0.49957653880119324,1.4359372854232788,1.7003709077835083
36,ClippedRelativePerformer,-6,0.7408344149589539,0.43845391273498535,0.8769554495811462,1.5018458366394043
37,ClippedRelativePerformer,-5,0.8192161917686462,0.3850824534893036,0.6311750411987305,1.3756829500198364
38,ClippedRelativePerformer,-4,0.8735777735710144,0.33253490924835205,0.4447671175003052,1.218083381652832
39,ClippedRelativePerformer,-3,0.9241466522216797,0.2649308443069458,0.27901557087898254,1.0083521604537964
40,ClippedRelativePerformer,-2,0.9519595503807068,0.2139870524406433,0.1468552201986313,0.7678508758544922
41,ClippedRelativePerformer,-1,0.9734513163566589,0.16086190938949585,0.08083119243383408,0.5705722570419312
42,ClippedRelativePerformer,0,0.9860935807228088,0.11717686057090759,0.050048161298036575,0.4301256239414215
43,ClippedRelativePerformer,1,0.9898862242698669,0.10012074559926987,0.03766407445073128,0.35088077187538147
44,ClippedRelativePerformer,2,0.9898862242698669,0.10012074559926987,0.03215267136693001,0.30679067969322205
45,ClippedRelativePerformer,3,0.9898862242698669,0.10012074559926987,0.030394582077860832,0.2835612893104553
46,ClippedRelativePerformer,4,0.9860935807228088,0.11717686057090759,0.03323362022638321,0.28048714995384216
47,ClippedRelativePerformer,5,0.982300877571106,0.1319388598203659,0.04258686676621437,0.3107399046421051
48,ClippedRelativePerformer,6,0.9683944582939148,0.1750582605600357,0.07685571163892746,0.43916964530944824
49,ClippedRelativePerformer,7,0.9304677844047546,0.25451797246932983,0.2301357239484787,0.9026877284049988
50,ClippedRelativePerformer,8,0.9203540086746216,0.270915687084198,0.3344675600528717,1.2112817764282227
