,run_dir,shift,accuracy_mean,accuracy_std,loss_mean,loss_std
0,Performer_MNIST,-8,0.2576112449169159,0.43757501244544983,3.222611665725708,3.0270028114318848
1,Performer_MNIST,-7,0.42388758063316345,0.4944625198841095,2.3466272354125977,2.839095115661621
2,Performer_MNIST,-6,0.5690866708755493,0.49549421668052673,1.6102933883666992,2.4190824031829834
3,Performer_MNIST,-5,0.7306791543960571,0.44386690855026245,0.8933796286582947,1.8791245222091675
4,Performer_MNIST,-4,0.9074941277503967,0.2899084985256195,0.3442593514919281,1.3441269397735596
5,Performer_MNIST,-3,0.9754098653793335,0.15496324002742767,0.12436272948980331,0.89958655834198
6,Performer_MNIST,-2,0.9882903695106506,0.10763853043317795,0.051292192190885544,0.5128966569900513
7,Performer_MNIST,-1,0.9929742217063904,0.08357378840446472,0.02402312308549881,0.3080020546913147
8,Performer_MNIST,0,0.9929742217063904,0.08357378840446472,0.025079263374209404,0.3188028633594513
9,Performer_MNIST,1,0.9941452145576477,0.0763370543718338,0.038805704563856125,0.5561670064926147
10,Performer_MNIST,2,0.9918032884597778,0.09021677076816559,0.04687146097421646,0.746256411075592
11,Performer_MNIST,3,0.9882903695106506,0.10763853043317795,0.0654958039522171,0.9358770251274109
12,Performer_MNIST,4,0.9847775101661682,0.12250850349664688,0.09161759912967682,1.0280624628067017
13,Performer_MNIST,5,0.9110070466995239,0.2849004566669464,0.2549048066139221,1.1357687711715698
14,Performer_MNIST,6,0.7939109802246094,0.4047321677207947,0.606519341468811,1.4794453382492065
15,Performer_MNIST,7,0.7353630065917969,0.4413982331752777,0.8650146126747131,1.6764051914215088
16,Performer_MNIST,8,0.5819672346115112,0.4935246407985687,1.2023537158966064,1.6724692583084106
17,RelativePerformer_MNIST,-8,1.0,0.0,7.236130477394909e-05,0.001868897583335638
18,RelativePerformer_MNIST,-7,0.9988290667533875,0.03421929478645325,0.0020226959604769945,0.05514872074127197
19,RelativePerformer_MNIST,-6,0.9976580739021301,0.04836501553654671,0.009985973127186298,0.2139122486114502
20,RelativePerformer_MNIST,-5,0.9976580739021301,0.04836501553654671,0.015779610723257065,0.3220991790294647
21,RelativePerformer_MNIST,-4,0.9988290667533875,0.03421929478645325,0.0043084220960736275,0.12042591720819473
22,RelativePerformer_MNIST,-3,1.0,0.0,5.988422344671562e-05,0.001738913357257843
23,RelativePerformer_MNIST,-2,1.0,0.0,1.606961632205639e-05,0.00046776706585660577
24,RelativePerformer_MNIST,-1,1.0,0.0,5.146405965206213e-05,0.001499873585999012
25,RelativePerformer_MNIST,0,1.0,0.0,3.7095622246852145e-05,0.0010796718997880816
26,RelativePerformer_MNIST,1,1.0,0.0,3.333141648909077e-06,6.843013397883624e-05
27,RelativePerformer_MNIST,2,1.0,0.0,1.1061389386668452e-06,2.216687789768912e-05
28,RelativePerformer_MNIST,3,1.0,0.0,2.0504890585471003e-07,3.953196937800385e-06
29,RelativePerformer_MNIST,4,1.0,0.0,2.084354264297872e-06,3.71524911315646e-05
30,RelativePerformer_MNIST,5,1.0,0.0,0.00017608604684937745,0.005111497826874256
31,RelativePerformer_MNIST,6,0.9988290667533875,0.03421929478645325,0.003201959654688835,0.09351851046085358
32,RelativePerformer_MNIST,7,0.9988290667533875,0.03421929478645325,0.002897761994972825,0.0813589096069336
33,RelativePerformer_MNIST,8,0.9964871406555176,0.05920003354549408,0.007789867464452982,0.1382838934659958
34,NoposPerformer_MNIST,-8,0.9941452145576477,0.0763370543718338,0.02456463873386383,0.24867087602615356
35,NoposPerformer_MNIST,-7,0.9941452145576477,0.0763370543718338,0.024564651772379875,0.2486710399389267
36,NoposPerformer_MNIST,-6,0.9941452145576477,0.0763370543718338,0.024564653635025024,0.2486710399389267
37,NoposPerformer_MNIST,-5,0.9941452145576477,0.0763370543718338,0.024564649909734726,0.2486710250377655
38,NoposPerformer_MNIST,-4,0.9941452145576477,0.0763370543718338,0.024564653635025024,0.24867112934589386
39,NoposPerformer_MNIST,-3,0.9941452145576477,0.0763370543718338,0.02456466108560562,0.24867106974124908
40,NoposPerformer_MNIST,-2,0.9941452145576477,0.0763370543718338,0.024564657360315323,0.2486710548400879
41,NoposPerformer_MNIST,-1,0.9941452145576477,0.0763370543718338,0.02456466667354107,0.24867121875286102
42,NoposPerformer_MNIST,0,0.9941452145576477,0.0763370543718338,0.024564655497670174,0.24867111444473267
43,NoposPerformer_MNIST,1,0.9941452145576477,0.0763370543718338,0.02456466481089592,0.24867112934589386
44,NoposPerformer_MNIST,2,0.9941452145576477,0.0763370543718338,0.024564668536186218,0.24867114424705505
45,NoposPerformer_MNIST,3,0.9941452145576477,0.0763370543718338,0.02456466667354107,0.24867121875286102
46,NoposPerformer_MNIST,4,0.9941452145576477,0.0763370543718338,0.024564657360315323,0.24867111444473267
47,NoposPerformer_MNIST,5,0.9941452145576477,0.0763370543718338,0.024564668536186218,0.24867120385169983
48,NoposPerformer_MNIST,6,0.9941452145576477,0.0763370543718338,0.02456466294825077,0.24867112934589386
49,NoposPerformer_MNIST,7,0.9941452145576477,0.0763370543718338,0.02456466108560562,0.24867115914821625
50,NoposPerformer_MNIST,8,0.9941452145576477,0.0763370543718338,0.024564657360315323,0.24867121875286102
0,content_RelativePerformer_MNIST_redraw1000,-8,0.9988290667533875,0.03421929478645325,0.006285823881626129,0.1715766340494156
1,content_RelativePerformer_MNIST_redraw1000,-7,0.9988290667533875,0.03421929478645325,0.006392170675098896,0.16858792304992676
